Zip Code,City,State,Household Income,White Population,Black Population,Hispanic Population,Size,Overall Crime,Violent Crime,Rent Amount,Average House Price,Price/Rent,Projected Growth (1yr)
16602,Altoona,PA,11800,93.63161211402306%,4.2369425807169065%,2.131445305260036%,4576,F,D-,895.0,132439.9282716792,12.331464457325811,-2.8%
38672,Southaven,MS,5307,63.67927620795909%,31.9543696322035%,4.366354159837409%,7956,A+,A+,2337.321428571429,330932.14816009725,11.798838908603564,1.3%
60620,Chicago,IL,26150,1.801533536812328%,95.43958907168913%,2.7588773914985483%,211,F,F,1236.3695728291316,155033.33988166868,10.449500921133188,0.1%
74119,Tulsa,OK,2284,86.06307222787386%,8.51135978297728%,5.425567989148864%,16637,D-,F,1372.8472222222224,161007.39213164666,9.773325436692598,1.8%
32934,Melbourne,FL,7438,91.12803984764138%,2.1564605918546733%,6.715499560503956%,6911,A,A-,1981.0,505491.32312006963,21.264147868083022,2.0%
29403,Charleston,SC,10047,60.858779486716884%,36.38536827387127%,2.7558522394118445%,5441,F,F,2579.123799740749,757475.574995157,24.474577214662904,3.4%
76205,Denton,TX,7698,60.27628339564147%,14.028448983313577%,25.695267621044955%,5461,C,A+,1570.8392857142856,360795.69319152506,19.14028254793029,1.5%
94602,Oakland,CA,12094,57.49165784975992%,19.50028485391064%,23.008057296329454%,3101,B+,C-,2489.4166666666665,1087488.4418549577,36.40372382602878,-1.3%
76705,Lacy-Lakeview,TX,10811,51.46871747426853%,19.185844801665315%,29.345437724066148%,3375,B,C,1397.5,207742.9888047294,12.387775122524115,2.2%
33175,Tamiami,FL,17115,39.03299712953941%,0.23174360729992363%,60.73525926316067%,888,C-,B+,2709.5833333333335,607955.9860067767,18.69770831944569,2.9%
01850,Lowell,MA,5872,59.31441934888301%,13.163887008431288%,27.5216936426857%,7333,D+,D,1900.0,418772.2736499054,18.367204984644975,1.4%
15222,Pittsburgh,PA,2818,85.00740114189045%,11.968703742863184%,3.0238951152463525%,12753,F,F,2006.3194444444443,461659.1813637742,19.175210883546054,-1.2%
02818,East Greenwich,RI,8398,94.94286807719644%,0.8419441255262151%,4.21518779727735%,6011,B+,B+,1908.3333333333335,651670.433652922,28.457224176983495,2.8%
66046,Lawrence,KS,8429,82.72039101150385%,6.640042915896763%,10.639566072599392%,6387,F,C+,1599.4444444444443,260459.47340584765,13.570309486237287,1.9%
85363,Youngtown,AZ,2499,59.82061614454699%,1.8978291953724162%,38.281554660080594%,12196,B,A-,1675.0,324274.03698299755,16.133036665820775,3.1%
33612,Tampa,FL,18908,36.834283316431794%,26.679371962093928%,36.48634472147428%,861,D,D-,1647.7679195804196,295868.27434798033,14.963083839668741,3.7%
02445,Brookline,MA,9374,86.15324776351613%,4.484080680113353%,9.362671556370508%,5612,D,D-,3991.084914182475,1120066.0936956252,23.386834193784978,1.4%
50036,Boone,IA,6661,95.92166614858564%,1.0941871308672677%,2.9841467205470935%,7288,B-,D-,887.5,190823.53573927807,17.91770288631719,-0.8%
28262,Charlotte,NC,20576,34.48599348534202%,56.156351791530945%,9.357654723127036%,1317,F,D+,1570.7110145860145,356720.81437977153,18.925654850317947,3.4%
34608,Spring Hill,FL,14256,75.00951552389756%,4.920885215594584%,20.069599260507857%,2713,A-,A,1766.607142857143,302417.92423240806,14.265477068815366,3.3%
43223,Columbus,OH,9188,72.98303682250724%,19.328995373678865%,7.687967803813894%,4230,F,F,1401.2222222222224,156113.4339424955,9.28436091165424,3.1%
23832,Chesterfield,VA,13393,63.261909714998964%,29.176201372997713%,7.561888912003329%,2011,B,A-,1942.2333333333333,384948.6789480147,16.516582239861958,1.9%
75181,Mesquite,TX,7951,34.61665783898305%,31.286414194915253%,34.096927966101696%,3582,A,B+,2502.678571428571,334328.54774399614,11.132357399015213,1.0%
18102,Allentown,PA,17213,30.115424973767052%,12.18480714808102%,57.69976787815193%,845,D-,F,1321.986013986014,188142.80397856576,11.859858449591497,2.8%
03766,Lebanon,NH,4286,95.1989168923141%,0.5207248489897938%,4.280358258696105%,10276,D,D,2150.0,412277.1645031166,15.979735058260335,N/A%
40220,Louisville,KY,15469,80.93423478795329%,14.108789182544559%,4.956976029502151%,2807,A+,B,1304.6595238095238,270288.1854181899,17.264286229825785,0.5%
96822,Honolulu,HI,18595,75.77092511013215%,3.352497573359217%,20.876577316508623%,1176,A,A,1948.2272727272727,698984.024993664,29.898292445075572,0.0%
11218,New York,NY,26048,68.39149219009639%,11.686606846128281%,19.92190096377534%,125,D-,D-,2667.1155303030305,843480.5309563406,26.354330529647342,0.1%
91722,Covina,CA,10024,35.75262089485832%,3.356413892828342%,60.89096521231334%,2741,B,A,2791.6666666666665,745688.6174594056,22.259361715206136,1.2%
85255,Scottsdale,AZ,18969,90.32710169370739%,1.743592179965318%,7.929306126327291%,1776,B,A+,2689.854066985646,1239819.6891531686,38.41037649496472,3.9%
18015,Bethlehem,PA,11800,61.188708156529934%,11.10030645921735%,27.710985384252712%,2597,F,D,1815.125,256308.32054871213,11.76724837815174,2.8%
85757,Tucson,AZ,6711,37.86903440621532%,2.9123196448390676%,59.218645948945614%,6489,A,C,1872.2222222222224,326409.8403337401,14.528627908029975,2.3%
01913,Amesbury,MA,7588,93.86795333781225%,3.2858975142002076%,2.8461491479875405%,6987,D+,B-,2321.6666666666665,566381.8623018406,20.32957151119313,1.2%
21230,Baltimore,MD,15560,62.337745380139395%,28.21791674659505%,9.444337873265555%,3223,F,F,2049.0000400496615,264234.5294081266,10.746483009736885,-0.9%
80021,Westminster,CO,15984,86.6674501278021%,0.9607192173223258%,12.371830654875577%,2810,B-,B-,1993.2929970972425,576364.8336088862,24.09600739614567,0.3%
10035,New York,NY,14833,19.37852399448691%,39.01265505575742%,41.60882094975567%,2256,F,F,2895.757575757576,597161.8275610498,17.18496259724662,-0.3%
45229,Cincinnati,OH,6417,28.80621544897654%,65.20245032123114%,5.99133422979232%,8031,D-,F,1120.138888888889,245742.17057204945,18.28212056332668,2.1%
35476,Northport,AL,3112,41.88850423779396%,53.145517488360994%,4.965978273845052%,10716,C-,D,1242.5,170437.72831821523,11.431101832207593,0.9%
32097,Yulee,FL,8210,86.76470588235294%,8.828480887304417%,4.4068132303426415%,5861,B,B-,2159.9,367022.3292784212,14.160467663565488,1.8%
94112,San Francisco,CA,23106,40.77032740143545%,6.493953396912791%,52.735719201651754%,71,A-,C-,2988.6309523809523,1104502.2124041242,30.79732911162887,-0.9%
